,gen,i,max,max_el,max_pop,mean,mean_el,mean_pop,min,min_el,min_pop,ppa
227,107,5952,85.8063,85.8063,85.8063,75.94947142857144,85.80611999999996,80.49868769230766,65.8705,85.8061,65.8705,6
228,108,5987,85.8063,85.8063,85.8063,75.47554722222223,85.80613333333329,80.17126212121208,65.8611,85.8061,65.8611,6
229,109,6023,85.8063,85.8063,85.8063,78.19173272727272,85.80614666666662,80.87916823529406,63.8667,85.8061,63.8667,6
230,110,6078,85.8063,85.8063,85.8063,76.04699574468087,85.80616666666661,79.84926233766232,64.8647,85.8061,64.8647,6
231,111,6125,85.8063,85.8063,85.8063,78.19556315789474,85.80617999999996,80.81990919540229,68.8589,85.8061,68.8589,6
232,112,6182,85.8071,85.8071,85.8071,78.2271626666667,85.80625333333327,80.39259619047618,66.8553,85.8061,66.8553,6
233,113,6257,82.8105,85.8071,85.8071,74.8699,85.80625333333327,80.2484344262295,61.8749,85.8061,61.8749,6
234,114,6288,84.8108,85.8071,85.8071,74.46309999999998,85.80625333333327,79.95172258064515,66.8584,85.8061,66.8584,6
235,115,6320,84.8077,85.8071,85.8071,75.08544375,85.80625333333327,80.2729322580645,65.8586,85.8061,65.8586,6
236,116,6352,85.8071,85.8071,85.8071,75.52322187499996,85.80628666666661,80.49888225806446,65.8622,85.8061,65.8622,6
237,117,6384,85.8061,85.8071,85.8071,73.97865555555558,85.80628666666661,79.3548515151515,61.868,85.8061,61.868,6
238,118,6420,85.8071,85.8071,85.8071,76.69655945945946,85.8063266666666,80.77554179104473,65.8621,85.8061,65.8621,6
239,119,6457,85.8071,85.8071,85.8071,76.01778157894738,85.80637333333328,80.33625735294115,63.8668,85.8061,63.8668,6
240,0,0,67.8505,67.8505,67.8505,61.73538,61.73537999999999,61.73537999999999,55.8742,55.8742,55.8742,4
241,1,30,69.8451,69.8451,69.8451,63.0679927536232,66.29266666666668,62.66417070707071,55.8881,63.8726,55.8742,4
242,2,99,69.8451,69.8451,69.8451,65.10651020408163,67.92158333333333,65.5569493670886,58.8728,66.8529,58.8728,4
243,3,148,71.8425,71.8425,71.8425,66.87673061224488,69.21584333333335,67.27351012658232,58.8752,67.8564,58.8752,4
244,4,197,71.8373,71.8425,71.8425,67.02811086956523,69.68107666666667,67.89168947368422,60.8669,68.8493,60.8669,4
245,5,243,71.8425,71.8425,71.8425,67.41546250000002,70.47762666666668,68.28685256410256,61.8618,69.8426,61.8618,4
246,6,291,72.834,72.834,72.834,67.30877719298245,71.07579333333334,68.40148390804598,58.8769,69.8475,58.8769,4
247,7,348,75.8279,75.8279,75.8279,68.60925316455693,72.13806333333332,69.28811743119262,59.8697,71.8371,59.8697,4
248,8,427,73.8376,75.8279,75.8279,67.15726666666667,72.27137333333334,69.52907460317462,60.8721,71.8373,60.8721,4
249,9,460,75.8279,75.8279,75.8279,69.10509743589745,72.97010666666665,70.4817391304348,61.8646,71.8381,61.8646,4
250,10,499,75.8283,75.8283,75.8283,70.23793035714286,74.79823666666665,71.19101511627909,59.8652,72.8374,59.8652,4
251,11,555,75.8285,75.8285,75.8285,71.79305882352944,75.66176333333334,72.5770182608696,64.8567,74.8318,64.8567,4
252,12,640,75.8285,75.8285,75.8285,72.9716406779661,75.82798666666667,73.5169358108108,62.8628,75.8279,62.8628,4
253,13,758,76.8232,76.8232,76.8232,70.52678780487807,75.86120333333335,72.76673098591549,61.8643,75.8279,61.8643,4
